学生id,uid,总交互次数,去重习题数,去重知识点数,重复做题次数,重复做过的习题数,答对次数,答错次数,答对率,习题覆盖率,知识点覆盖率
uid792,792,83,82,39,1,1,33,50,0.397590,0.086498,0.684211
uid793,793,191,189,47,2,2,40,151,0.209424,0.199367,0.824561
uid794,794,40,40,23,0,0,23,17,0.575000,0.042194,0.403509
uid795,795,163,162,44,1,1,125,38,0.766871,0.170886,0.771930
uid796,796,69,69,34,0,0,16,53,0.231884,0.072785,0.596491
uid797,797,72,71,34,1,1,35,37,0.486111,0.074895,0.596491
uid798,798,65,64,33,1,1,50,15,0.769231,0.067511,0.578947
uid799,799,119,118,43,1,1,103,16,0.865546,0.124473,0.754386
uid800,800,187,186,49,1,1,115,72,0.614973,0.196203,0.859649
uid801,801,79,77,36,2,2,37,42,0.468354,0.081224,0.631579
uid802,802,153,152,46,1,1,47,106,0.307190,0.160338,0.807018
uid803,803,192,189,49,3,3,73,119,0.380208,0.199367,0.859649
uid804,804,105,105,40,0,0,85,20,0.809524,0.110759,0.701754
uid805,805,103,103,42,0,0,53,50,0.514563,0.108650,0.736842
uid806,806,190,186,47,4,4,43,147,0.226316,0.196203,0.824561
uid807,807,140,139,45,1,1,57,83,0.407143,0.146624,0.789474
uid808,808,163,159,46,4,4,52,111,0.319018,0.167722,0.807018
uid809,809,116,114,39,2,2,18,98,0.155172,0.120253,0.684211
uid810,810,124,123,43,1,1,52,72,0.419355,0.129747,0.754386
uid811,811,38,37,21,1,1,13,25,0.342105,0.039030,0.368421
uid812,812,95,94,38,1,1,42,53,0.442105,0.099156,0.666667
uid813,813,125,122,42,3,3,82,43,0.656000,0.128692,0.736842
uid814,814,144,142,47,2,2,75,69,0.520833,0.149789,0.824561
uid815,815,147,146,45,1,1,99,48,0.673469,0.154008,0.789474
uid816,816,125,124,43,1,1,56,69,0.448000,0.130802,0.754386
uid817,817,198,194,48,4,4,66,132,0.333333,0.204641,0.842105
uid818,818,127,126,44,1,1,76,51,0.598425,0.132911,0.771930
uid819,819,92,92,37,0,0,35,57,0.380435,0.097046,0.649123
uid820,820,125,124,43,1,1,64,61,0.512000,0.130802,0.754386
uid821,821,119,115,47,4,4,61,58,0.512605,0.121308,0.824561
uid822,822,85,84,36,1,1,36,49,0.423529,0.088608,0.631579
uid823,823,117,116,43,1,1,42,75,0.358974,0.122363,0.754386
uid824,824,160,156,49,4,4,141,19,0.881250,0.164557,0.859649
uid825,825,107,107,44,0,0,31,76,0.289720,0.112869,0.771930
uid826,826,69,68,34,1,1,40,29,0.579710,0.071730,0.596491
uid827,827,36,36,24,0,0,29,7,0.805556,0.037975,0.421053
uid828,828,96,95,41,1,1,63,33,0.656250,0.100211,0.719298
uid829,829,42,39,26,3,3,38,4,0.904762,0.041139,0.456140
uid830,830,85,84,39,1,1,53,32,0.623529,0.088608,0.684211
uid831,831,86,86,37,0,0,32,54,0.372093,0.090717,0.649123
uid832,832,55,54,29,1,1,33,22,0.600000,0.056962,0.508772
uid833,833,64,63,35,1,1,26,38,0.406250,0.066456,0.614035
uid834,834,10,10,9,0,0,7,3,0.700000,0.010549,0.157895
uid835,835,112,111,42,1,1,50,62,0.446429,0.117089,0.736842
uid836,836,65,64,33,1,1,26,39,0.400000,0.067511,0.578947
uid837,837,68,65,35,3,3,26,42,0.382353,0.068565,0.614035
uid838,838,61,59,31,2,2,51,10,0.836066,0.062236,0.543860
uid839,839,36,35,25,1,1,20,16,0.555556,0.036920,0.438596
uid840,840,19,18,17,1,1,12,7,0.631579,0.018987,0.298246
uid841,841,107,105,40,2,2,43,64,0.401869,0.110759,0.701754
uid842,842,136,135,42,1,1,99,37,0.727941,0.142405,0.736842
uid843,843,41,40,23,1,1,12,29,0.292683,0.042194,0.403509
uid844,844,147,146,45,1,1,85,62,0.578231,0.154008,0.789474
uid845,845,99,97,40,2,2,29,70,0.292929,0.102321,0.701754
uid846,846,69,68,34,1,1,69,0,1.000000,0.071730,0.596491
uid847,847,123,123,45,0,0,59,64,0.479675,0.129747,0.789474
uid848,848,131,131,43,0,0,83,48,0.633588,0.138186,0.754386
uid849,849,37,37,26,0,0,28,9,0.756757,0.039030,0.456140
uid850,850,69,68,34,1,1,49,20,0.710145,0.071730,0.596491
uid851,851,144,142,45,2,2,113,31,0.784722,0.149789,0.789474
uid852,852,160,159,45,1,1,114,46,0.712500,0.167722,0.789474
uid853,853,42,40,25,2,2,28,14,0.666667,0.042194,0.438596
uid854,854,70,70,36,0,0,30,40,0.428571,0.073840,0.631579
uid855,855,131,130,45,1,1,45,86,0.343511,0.137131,0.789474
uid856,856,196,196,47,0,0,174,22,0.887755,0.206751,0.824561
uid857,857,135,135,43,0,0,70,65,0.518519,0.142405,0.754386
uid858,858,72,72,35,0,0,46,26,0.638889,0.075949,0.614035
uid859,859,42,41,24,1,1,13,29,0.309524,0.043249,0.421053
uid860,860,23,23,16,0,0,13,10,0.565217,0.024262,0.280702
uid861,861,168,167,46,1,1,70,98,0.416667,0.176160,0.807018
uid862,862,39,39,26,0,0,17,22,0.435897,0.041139,0.456140
uid863,863,58,57,29,1,1,23,35,0.396552,0.060127,0.508772
uid864,864,62,59,31,3,3,17,45,0.274194,0.062236,0.543860
uid865,865,98,98,40,0,0,84,14,0.857143,0.103376,0.701754
uid866,866,173,167,51,6,6,136,37,0.786127,0.176160,0.894737
uid867,867,68,66,31,2,2,34,34,0.500000,0.069620,0.543860
uid868,868,128,127,42,1,1,39,89,0.304688,0.133966,0.736842
uid869,869,192,191,47,1,1,56,136,0.291667,0.201477,0.824561
uid870,870,99,98,41,1,1,34,65,0.343434,0.103376,0.719298
uid871,871,173,170,44,3,3,126,47,0.728324,0.179325,0.771930
uid872,872,143,137,46,6,6,108,35,0.755245,0.144515,0.807018
uid873,873,82,81,34,1,1,54,28,0.658537,0.085443,0.596491
uid874,874,103,101,44,2,2,25,78,0.242718,0.106540,0.771930
uid875,875,145,144,43,1,1,39,106,0.268966,0.151899,0.754386
uid876,876,79,78,37,1,1,57,22,0.721519,0.082278,0.649123
uid877,877,111,111,44,0,0,57,54,0.513514,0.117089,0.771930
uid878,878,50,50,33,0,0,27,23,0.540000,0.052743,0.578947
uid879,879,121,119,39,2,2,69,52,0.570248,0.125527,0.684211
uid880,880,198,195,48,3,3,110,88,0.555556,0.205696,0.842105
uid881,881,145,145,44,0,0,78,67,0.537931,0.152954,0.771930
uid882,882,92,91,37,1,1,28,64,0.304348,0.095992,0.649123
uid883,883,47,47,31,0,0,22,25,0.468085,0.049578,0.543860
uid884,884,10,9,8,1,1,5,5,0.500000,0.009494,0.140351
uid885,885,146,144,41,2,2,45,101,0.308219,0.151899,0.719298
uid886,886,104,102,39,2,2,47,57,0.451923,0.107595,0.684211
uid887,887,137,135,43,2,2,69,68,0.503650,0.142405,0.754386
uid888,888,165,165,46,0,0,57,108,0.345455,0.174051,0.807018
uid889,889,21,20,18,1,1,9,12,0.428571,0.021097,0.315789
uid890,890,42,41,26,1,1,15,27,0.357143,0.043249,0.456140
uid891,891,86,86,43,0,0,37,49,0.430233,0.090717,0.754386
uid892,892,83,82,36,1,1,49,34,0.590361,0.086498,0.631579
uid893,893,111,111,42,0,0,50,61,0.450450,0.117089,0.736842
uid894,894,50,50,28,0,0,33,17,0.660000,0.052743,0.491228
uid895,895,96,92,42,4,4,26,70,0.270833,0.097046,0.736842
uid896,896,125,123,43,2,2,44,81,0.352000,0.129747,0.754386
uid897,897,183,181,47,2,2,132,51,0.721311,0.190928,0.824561
uid898,898,165,163,46,2,2,64,101,0.387879,0.171941,0.807018
uid899,899,158,157,44,1,1,38,120,0.240506,0.165612,0.771930
uid900,900,163,161,43,2,2,50,113,0.306748,0.169831,0.754386
uid901,901,123,123,43,0,0,51,72,0.414634,0.129747,0.754386
uid902,902,57,57,30,0,0,21,36,0.368421,0.060127,0.526316
uid903,903,37,37,24,0,0,33,4,0.891892,0.039030,0.421053
uid904,904,70,68,36,2,2,41,29,0.585714,0.071730,0.631579
uid905,905,176,173,47,3,3,94,82,0.534091,0.182489,0.824561
uid906,906,170,167,45,3,3,57,113,0.335294,0.176160,0.789474
uid907,907,51,51,30,0,0,40,11,0.784314,0.053797,0.526316
uid908,908,86,85,34,1,1,28,58,0.325581,0.089662,0.596491
uid909,909,70,70,35,0,0,40,30,0.571429,0.073840,0.614035
uid910,910,20,20,16,0,0,11,9,0.550000,0.021097,0.280702
uid911,911,155,149,47,6,6,95,60,0.612903,0.157173,0.824561
uid912,912,65,65,36,0,0,38,27,0.584615,0.068565,0.631579
uid913,913,23,22,15,1,1,7,16,0.304348,0.023207,0.263158
uid914,914,173,171,48,2,2,58,115,0.335260,0.180380,0.842105
uid915,915,112,112,42,0,0,30,82,0.267857,0.118143,0.736842
uid916,916,88,88,38,0,0,72,16,0.818182,0.092827,0.666667
uid917,917,60,60,32,0,0,27,33,0.450000,0.063291,0.561404
uid918,918,79,75,35,4,4,41,38,0.518987,0.079114,0.614035
uid919,919,11,11,9,0,0,5,6,0.454545,0.011603,0.157895
uid920,920,136,132,41,4,4,73,63,0.536765,0.139241,0.719298
uid921,921,35,35,27,0,0,9,26,0.257143,0.036920,0.473684
uid922,922,66,61,36,5,5,17,49,0.257576,0.064346,0.631579
uid923,923,167,165,47,2,2,90,77,0.538922,0.174051,0.824561
uid924,924,43,40,28,3,3,29,14,0.674419,0.042194,0.491228
uid925,925,60,56,30,4,4,32,28,0.533333,0.059072,0.526316
uid926,926,17,17,16,0,0,8,9,0.470588,0.017932,0.280702
uid927,927,119,114,44,5,5,55,64,0.462185,0.120253,0.771930
uid928,928,25,24,15,1,1,21,4,0.840000,0.025316,0.263158
uid929,929,123,122,44,1,1,43,80,0.349593,0.128692,0.771930
uid930,930,78,74,41,4,4,16,62,0.205128,0.078059,0.719298
uid931,931,130,126,48,4,4,25,105,0.192308,0.132911,0.842105
uid932,932,49,49,33,0,0,29,20,0.591837,0.051688,0.578947
uid933,933,74,74,37,0,0,53,21,0.716216,0.078059,0.649123
uid934,934,117,116,42,1,1,59,58,0.504274,0.122363,0.736842
